source,target
1,41
1,68
1,32
1,14
1,44
1,101
1,60
1,15
1,21
1,102
0,4
2,80
2,33
2,18
2,70
2,50
2,7
3,27
3,16
3,8
4,28
4,31
5,50
5,7
5,46
6,68
6,14
6,29
6,60
6,21
6,102
6,85
7,80
7,33
7,78
7,51
8,24
8,27
8,13
8,11
8,26
8,22
8,45
8,20
8,42
9,20
9,48
10,35
10,16
11,22
11,56
11,20
12,55
13,42
14,15
15,41
17,68
17,101
18,80
18,33
18,70
19,56
20,24
20,57
20,40
20,53
20,49
20,48
21,41
21,25
21,52
21,63
21,60
21,85
23,54
25,41
25,44
25,101
25,102
27,54
29,41
29,52
30,66
30,79
30,67
30,76
30,73
31,74
31,77
31,82
31,76
31,73
32,58
32,63
32,60
32,85
32,93
33,51
33,70
33,50
35,40
35,38
35,36
35,43
34,39
37,47
40,47
40,42
41,44
41,101
41,60
41,102
42,47
42,43
44,60
46,80
46,51
46,50
48,57
49,76
50,80
50,78
50,51
52,101
52,102
52,85
56,57
60,68
60,102
60,85
59,61
62,84
63,68
63,102
64,67
64,69
65,69
66,89
66,96
66,97
66,67
66,76
66,73
66,84
66,90
67,103
67,104
68,101
68,85
70,80
70,78
71,75
71,76
71,73
72,87
72,79
72,75
72,89
72,76
72,73
72,90
73,92
73,82
73,98
73,86
73,95
73,96
73,84
74,84
75,91
75,84
76,77
76,82
76,86
81,97
82,84
83,84
84,88
84,86
84,89
84,96
85,101
86,100
86,89
90,99
90,91
94,96
96,100
96,97
